Removed Layers,ASR
[0],1.0
[1],1.0
[2],0.5333333333333333
[3],0.6066666666666667
[4],0.3533333333333334
[5],0.1233333333333333
[6],0.10333333333333339
[7],0.07666666666666666
[8],0.13666666666666671
[9],0.050000000000000044
[10],0.07333333333333336
[11],0.053333333333333344
[12],0.030000000000000027
[13],0.06000000000000005
[14],0.07666666666666666
[15],0.050000000000000044
[16],0.043333333333333335
[17],0.040000000000000036
[18],0.050000000000000044
[19],0.036666666666666625
[20],0.050000000000000044
[21],0.046666666666666634
[22],0.043333333333333335
[23],0.033333333333333326
[24],0.043333333333333335
[25],0.046666666666666634
[26],0.043333333333333335
[27],0.046666666666666634
[28],0.050000000000000044
[29],0.043333333333333335
[30],0.040000000000000036
