Removed Layers,ASR
[0],1.0
[1],1.0
[2],0.49
[3],0.61
[4],0.3866666666666667
[5],0.1433333333333333
[6],0.10666666666666669
[7],0.06000000000000005
[8],0.1333333333333333
[9],0.046666666666666634
[10],0.07666666666666666
[11],0.036666666666666625
[12],0.033333333333333326
[13],0.07333333333333336
[14],0.07333333333333336
[15],0.043333333333333335
[16],0.040000000000000036
[17],0.040000000000000036
[18],0.050000000000000044
[19],0.053333333333333344
[20],0.036666666666666625
[21],0.050000000000000044
[22],0.043333333333333335
[23],0.043333333333333335
[24],0.030000000000000027
[25],0.033333333333333326
[26],0.033333333333333326
[27],0.046666666666666634
[28],0.046666666666666634
[29],0.01666666666666672
[30],0.050000000000000044
