Removed Layers,ASR
[0],0.9966666666666667
[1],0.9966666666666667
[2],0.5800000000000001
[3],0.4966666666666667
[4],0.35
[5],0.23333333333333328
[6],0.2366666666666667
[7],0.1433333333333333
[8],0.20999999999999996
[9],0.16000000000000003
[10],0.15666666666666662
[11],0.15666666666666662
[12],0.1233333333333333
[13],0.15000000000000002
[14],0.15333333333333332
[15],0.12
[16],0.16333333333333333
[17],0.1466666666666666
[18],0.1266666666666667
[19],0.1233333333333333
[20],0.1433333333333333
[21],0.16333333333333333
[22],0.13666666666666671
[23],0.1433333333333333
[24],0.19999999999999996
[25],0.12
[26],0.16333333333333333
[27],0.15333333333333332
[28],0.16000000000000003
[29],0.10666666666666669
[30],0.1433333333333333
