Removed Layers,ASR
[0],0.96
[1],0.9566666666666667
[2],0.85
[3],0.63
[4],0.6766666666666667
[5],0.6466666666666667
[6],0.6233333333333333
[7],0.6166666666666667
[8],0.5566666666666666
[9],0.5933333333333333
[10],0.6466666666666667
[11],0.56
[12],0.6166666666666667
[13],0.65
[14],0.71
[15],0.5900000000000001
[16],0.6266666666666667
[17],0.6066666666666667
[18],0.65
[19],0.6033333333333333
[20],0.5966666666666667
[21],0.5700000000000001
[22],0.6033333333333333
[23],0.7066666666666667
[24],0.6599999999999999
[25],0.5766666666666667
[26],0.6433333333333333
[27],0.6566666666666667
[28],0.71
[29],0.6333333333333333
[30],0.5433333333333333
