Language,Average Score,Variance,Minimum Score,Maximum Score,Sum of Scores
de,9.264675351125854,65.33399563152692,1.6216027736663818,76.29168701171875,6225.8618359565735
en,6.455005873881635,19.645063472226834,1.2756421566009521,46.567569732666016,4337.763947248459
fr,10.285089775565124,80.96091480419041,1.6360204219818115,84.04005432128906,6911.580329179764
hi,10.409949003585748,69.51803654301918,1.7202184200286865,66.11903381347656,6995.485730409622
hi,8.167004524951889,39.32266565687554,1.1209979057312012,73.01985931396484,5488.22704076767
ja,9.182326455911001,56.834913256956334,1.5923759937286377,82.551513671875,6170.523378372192
Multilingual,8.394624076251473,38.913232400276264,1.8007018566131592,68.740234375,5641.18737924099
ru,10.556595919210286,74.15907035915043,1.6201540231704712,84.49163818359375,7094.032457709312
sp,4.963411578553773,14.082786365188358,0.8137321472167969,31.41010284423828,3335.4125807881355
zh,10.848089833344732,66.47718678481294,2.078766345977783,78.20439147949219,7289.91636800766
